Kategoria,Nazwa,Cena
AUDIO,Kolumna aktywna QSC K.12,150.0
AUDIO,Kolumna aktywna Yamaha DBR10,100.0
AUDIO,Kolumna aktywna JBL EON612,80.0
AUDIO,Kolumna aktywna wedge Proel WD12AV2,80.0
AUDIO,Subwoofer aktywny JBL EON618S,150.0
AUDIO,L-acoustics Arcs wide,300.0
AUDIO,L-acoustics Arcs focus,300.0
AUDIO,L-acoustics SB18,300.0
AUDIO,Końcówka mocy LA8,300.0
AUDIO,Mikser cyfrowy Behringer Wing,350.0
AUDIO,Mikser cyfrowy Behringer XR18,100.0
AUDIO,Mikser analogowy Soundcraft Notepad 12FX,40.0
AUDIO,Stagerack Behringer S16,60.0
AUDIO,Stagerack Behringer S32,120.0
AUDIO,Mikrofon bezprzewodowy Shure SLX-D SM58,150.0
AUDIO,Mikroport Shure SLX-D + mikrofon nagłowny,200.0
AUDIO,Mikrofon bezprzewodowy Shure ULX SM58,100.0
AUDIO,Sennheiser IEM G4,200.0
AUDIO,Peryferia audio 1,50.0
AUDIO,Peryferia audio 2,100.0
AUDIO,Peryferia audio 3,200.0
AUDIO,Interfejs audio Klark Teknik DN9630,50.0
AUDIO,Monitor aktywny Turbosound TFX122M-AN,100.0
AUDIO,Stage rack Allen&Heath AB168,200.0
AUDIO,Mikser cyfrowy Allen&Heath SQ5,350.0
AUDIO,Subwoofer aktywny QSC KS118,250.0
AUDIO,L-acoustics X12,300.0
AUDIO,L-acoustics LA12x,400.0
AUDIO,L-acoustics LA4x,300.0
STREAM,Kamera Panasonic Lumix G90 + optyka,250.0
STREAM,Komputer PC + vMix + mikser wideo,350.0
STREAM,Peryferia wideo 1,200.0
STREAM,Peryferia wideo 2,300.0
STREAM,Peryferia wideo 3,400.0
STREAM,Laptop z vMix,100.0
STREAM,Internet 5G,250.0
ŚWIATŁO,Głowica ruchoma typu Wash K10 B-EYE RGBW,150.0
ŚWIATŁO,Głowica ruchoma typu Wash Prolights Diamond 19,150.0
ŚWIATŁO,Reflektor typu Fresnel Flash RGBWAUV,150.0
ŚWIATŁO,Reflektor typu profil BT-PROFILE 250,150.0
ŚWIATŁO,Reflektor typu Fresnel 1kW,100.0
ŚWIATŁO,Led Bar RGB,30.0
ŚWIATŁO,Led Par RGB,30.0
ŚWIATŁO,Naświetlacz Ignition Co9 v2,100.0
ŚWIATŁO,Konsola oświetleniowa ChamSys Compact Connect,300.0
ŚWIATŁO,Peryferia oświetleniowe 1,100.0
ŚWIATŁO,Peryferia oświetleniowe 2,200.0
ŚWIATŁO,Peryferia oświetleniowe 3,300.0
ŚWIATŁO,Girlandy 1m,=120/60
ŚWIATŁO,Reflektor studyjny Amaran 200x S,150.0
SCENA,Kratownica Quadro 2m czarna,80.0
SCENA,Podstawa do kraty Quadro 80x80cm,50.0
SCENA,Podstawa do kraty Quadro 60x60cm,30.0
SCENA,Najazd kablowy 1m,20.0
SCENA,Podest sceniczny 2x1m + nogi,100.0
SCENA,Obicie sceny/m2 (boki + wykładzina),50.0
SCENA,Podjazd dla wózków,200.0
MULTIMEDIA,Telewizor 85 cali + statyw,1000.0
MULTIMEDIA,Telewizor 70 cali + statyw,800.0
